"title","author","subject","abstract","date"
"are language models more like libraries or like librarians? bibliotechnism, the novel reference problem, and the attitudes of llms","harvey lederman, kyle mahowald","computation and language","are llms cultural technologies like photocopiers or printing presses, which transmit information but cannot create new content? a challenge for this idea, which we call bibliotechnism, is that llms often generate entirely novel text. we begin (part i) with a sustained defense of bibliotechnism against this challenge showing how even entirely novel text may be meaningful only in a derivative sense, and arguing that, in particular, much novel text generated by llms is only derivatively meaningful. but we argue (part ii) that bibliotechnism faces a different, novel challenge, stemming from examples in which llms generate ""novel reference"", using novel names to refer to novel entities. such examples could be smoothly explained if llms were not cultural technologies but possessed a limited form of agency (beliefs, desires, and intentions). according to interpretationism in the philosophy of mind, a system has beliefs, desires and intentions if and only if its behavior is well explained by the hypothesis that it has such states. so, according to interpretationism, cases of novel reference provide evidence that llms have beliefs, desires, and intentions. given that interpretationism is a live hypothesis about the nature of these states, we suggest that cases of novel reference provide evidence that llms do have beliefs, desires, and intentions.",2024-01-10
"autobiographical notes of a physicist","n. david mermin","history and philosophy of physics","i describe aspects of my life in physics: the name i publish under, great physicists i have known, how i got into quantum foundations, what role i've played in it. my form is autobiographical, but my personal experience may illustrate what it was like being a physicist over the past 60 years. i offer some offbeat ways of thinking about some orthodox physics.",2024-01-09
"quantum mechanics without quantum potentials","adam brownstein","quantum physics","the issue of non-locality in quantum mechanics can potentially be resolved by considering relativistically covariant diffusion in four-dimensional spacetime. stochastic particles described by the klein-gordon equation are shown to undergo a classical diffusion process in spacetime coordinates, which is seen by transforming the quantum cauchy-momentum equations to a lagrangian frame of reference. since the quantum potential term is removed under this transformation, the equations for momentum propagation along particle trajectories assume a classical form. a local stochastic de broglie-bohm interpretation for the klein-gordon system can subsequently be derived. we also introduce the concept of momentum equivariance to replace the second-order bohm-newton equations of motion, which break down due to non-linear terms of the stochastic lagrangian derivative.",2024-01-08
"a dynamic programming interpretation of quantum mechanics","adam brownstein","quantum physics","we introduce a transformation of the quantum phase $s'=s+\frac{\hbar}{2}\log\rho$, which converts the deterministic equations of quantum mechanics into the lagrangian reference frame of stochastic particles. we show that the quantum potential can be removed from the transformed quantum hamilton-jacobi equations if they are solved as stochastic hamilton-jacobi-bellman equations. the system of equations provide a local description of quantum mechanics, which is enabled by the inherently retrocausal nature of stochastic hamilton-jacobi-bellman equations. we also investigate the stochastic transformation of the classical system, where is it shown that quantum mechanics with the quantum potential reduced by a factor of $\frac{1}{2}$ has a classical representation, which may have interesting implications. finally, we discuss the notion of a subsystem correspondence principle, which constrains the ontology of the total quantum system.",2024-01-08
"proof of the nernst heat theorem","josé-maría martín-olalla","classical physics","the nernst heat theorem is probed from purely thermodynamic arguments connected with the second law of thermodynamics, and alien to the vanishing of the specific heats, or to the unattainability of the zeroth isotherm. if the proof is accepted the second law of thermodynamics would extend its applicability and the third postulate of thermodynamics would be narrowed to the fact that the entropy of a finite-density, chemically homogeneous body must not be negative. -- -- se demuestra el teorema de nernst a partir de argumentos exclusivamente termodinámicos que se extraen del segundo principio, y que son ajenos a la anulación de los calores específicos o a la inaccesibilidad de la isoterma cero. si se acepta la demostración, entonces el segundo principio extendería su rango de aplicabilidad y el tercer principio quedaría reducido al hecho de que la entropía de un cuerpo de densidad finita y quimicamente homogéneo no puede ser negativa.",2024-01-08
"a gl(3) converse theorem via a ""beyond endoscopy'' approach","valentin blomer, wing hong leung","number theory","we give a new proof of the converse theorem for maass forms on ${\rm gl}(3)$ using a technique that is inspired by langlands' philosophy of ""beyond endoscopy"", thereby implementing these ideas for the first time in a higher rank setting.",2024-01-08
"a philosophical introduction to language models -- part i: continuity with classic debates","raphaël millière, cameron buckner","computation and language","large language models like gpt-4 have achieved remarkable proficiency in a broad spectrum of language-based tasks, some of which are traditionally associated with hallmarks of human intelligence. this has prompted ongoing disagreements about the extent to which we can meaningfully ascribe any kind of linguistic or cognitive competence to language models. such questions have deep philosophical roots, echoing longstanding debates about the status of artificial neural networks as cognitive models. this article -- the first part of two companion papers -- serves both as a primer on language models for philosophers, and as an opinionated survey of their significance in relation to classic debates in the philosophy cognitive science, artificial intelligence, and linguistics. we cover topics such as compositionality, language acquisition, semantic competence, grounding, world models, and the transmission of cultural knowledge. we argue that the success of language models challenges several long-held assumptions about artificial neural networks. however, we also highlight the need for further empirical investigation to better understand their internal mechanisms. this sets the stage for the companion paper (part ii), which turns to novel empirical methods for probing the inner workings of language models, and new philosophical questions prompted by their latest developments.",2024-01-08
"from the first observations of cosmic rays to the physics of relativistic nuclei","p.i. zarubin, a.a. zaitsev","history and philosophy of physics","research of cosmic rays at the physical institute of the ussr academy of sciences resulted in the construction of the jinr synchrophasotron. for this purpose the electrophysical laboratory of the ussr academy of sciences was founded in 1953, which became part of jinr in 1956 as the high energy laboratory. the initial milestones to develop experiments at the laboratory on the synchrophasotron are presented. leaders and key participants in the experiments are highlighted, as well as the lessons and results relevant today.",2024-01-06
"reysa bernson, the unconventional head of the first french planetarium","yael naze (uliege)","history and philosophy of physics","the first modern planetarium was presented in 1923 in jena, germany. very soon in the subsequent years, planetariums were installed in other parts of europe as well as in america. france, however, got its first planetarium only in 1937, for the world exhibition organized in paris. the team that took care of that planetarium was headed by a female amateur astronomer named reysa bernson. this choice might seem surprising, but it was not made at random, thanks to her never-ending astronomical activities at that time. this paper aims to bring back memories of this very active amateur astronomer of the 1920s and 1930s, and show the many ways in which astronomy was disseminated a century ago.",2024-01-04
"u-trustworthy models.reliability, competence, and confidence in decision-making","ritwik vashistha, arya farahi","machine learning","with growing concerns regarding bias and discrimination in predictive models, the ai community has increasingly focused on assessing ai system trustworthiness. conventionally, trustworthy ai literature relies on the probabilistic framework and calibration as prerequisites for trustworthiness. in this work, we depart from this viewpoint by proposing a novel trust framework inspired by the philosophy literature on trust. we present a precise mathematical definition of trustworthiness, termed $\mathcal{u}$-trustworthiness, specifically tailored for a subset of tasks aimed at maximizing a utility function. we argue that a model's $\mathcal{u}$-trustworthiness is contingent upon its ability to maximize bayes utility within this task subset. our first set of results challenges the probabilistic framework by demonstrating its potential to favor less trustworthy models and introduce the risk of misleading trustworthiness assessments. within the context of $\mathcal{u}$-trustworthiness, we prove that properly-ranked models are inherently $\mathcal{u}$-trustworthy. furthermore, we advocate for the adoption of the auc metric as the preferred measure of trustworthiness. by offering both theoretical guarantees and experimental validation, auc enables robust evaluation of trustworthiness, thereby enhancing model selection and hyperparameter tuning to yield more trustworthy outcomes.",2024-01-04
"sheaves of probability","owen d. biesel","probability","what does it mean for multiple agents' credence functions to be consistent with each other, if the agents have distinct but overlapping sets of evidence? mathematical philosopher michael titelbaum's rule, called generalized conditionalization (gc), sensibly requires each pair of agents to acquire identical credences if they updated on each other's evidence. however, gc allows for paradoxical arrangements of agent credences that we would not like to call consistent. we interpret gc as a gluing condition in the context of sheaf theory, and show that if we further assume that the agents' evidence is logically consistent then the sheaf condition is satisfied and the paradoxes are resolved.",2024-01-03
"does the hamiltonian determine the tensor product structure and the 3d space?","ovidiu cristinel stoica","quantum physics","it was proposed that the tensor product structure of the hilbert space is uniquely determined by the hamiltonian's spectrum, for most finite-dimensional cases satisfying certain conditions. i show that any such method would lead to infinitely many tensor product structures. the dimension of the space of solutions grows exponentially with the number of qudits. in addition, even if the result were unique, such a hamiltonian would not entangle subsystems. these results affect the proposals to recover the 3d space from the hamiltonian.",2024-01-03
"unification of the mwi formalism and bohmian mechanics for the ensembles of event universes in minkowski-like space","oded shor, felix benninger, andrei khrennikov","quantum physics","diversity of interpretations of quantum mechanics is often considered as a sign of foundational crisis. in this note we proceed towards unification the relational quantum mechanics of rovelli, bohmian mechanics, and many worlds interpretation on the basis so called dendrogramic holographic theory (dht). dht is based on the representation of observed events by dendrograms (finite trees) presenting observers subjective image of universe. dendrograms encode the relational hierarchy between events, in applications they are generated by clustering algorithms; an algorithm with the branching index p >1 generate p-adic trees. the infinite p-adic tree represents the ontic event universe. we consider an ensemble of observers performing observations on each other and representing them by p-adic trees. in such observers universe we introduce a kind of minkowski space structure, which is statistical by its nature. this model unites the observer/system discrepancy. measurements are performed by observers on observers. such observers universe is dynamically changing and is background independent since the space itself is emergent. and within this model, we unify the aforementioned interpretations.",2023-09-28
"design of a full-filed transmission x-ray microscope with 30nm resolution","keliang liao, qili he, panyun li, maohua song, peiping zhu","instrumentation and detectors","a full-field transmission hard x-ray microscope (txm) with 30nm resolution was designed and its prototype was constructed. the txm relies on a compact, high stiffness, low heat dissipation and low vibration design philosophy and utilizes fresnel zone plate (fzp) as imaging optics. the design of the txm was introduced in detail, including the optical layout, the parameters of the fzp, the mechanical design of the txm instrument. preliminary imaging result with 52nm spatial resolution was achieved.",2023-11-15
"understanding and interpretations of quantum mechanics","dong luo","history and philosophy of physics","taking heisenberg's and schrodinger's theories of quantum mechanics as his case study, de regt's contextual theory of understanding argues that recognizing qualitatively characteristic consequences of a theory t without performing exact calculations is a criterion for scientific understanding. from the perspective of this theory of understanding, the task of understanding quantum mechanics seems to have been achieved already or even finished. this appears to disagree with some physicists' attitude to the understanding of quantum mechanics in line with richard feynman's famous slogan ""i think i can safely say that nobody really understands quantum mechanics."" moreover, if the task of understanding quantum mechanics has been finished already, there would be a conflict between the contextual theory of understanding of quantum mechanics and interpretations of quantum mechanics.",2023-08-25
"minimalist market design: a framework for economists with policy aspirations","tayfun sönmez","general economics","earlier in my career, prevalent approaches in the emerging field of market design largely represented the experiences and perspectives of leaders who were commissioned to design or reform various institutions. since being commissioned for a similar task seemed unlikely for me as an aspiring design economist, i developed my own minimalist approach to market design. using the policy objectives of stakeholders, my approach creates a new institution from the existing one with minimal interference with its elements that compromise the objectives. minimalist market design initially evolved through my integrated research and policy efforts in school choice from 1997 to 2005 and in kidney exchange from 2003 to 2007. given its success in school choice and kidney exchange, i systematically followed this approach in many other, often unusual real-world settings. in recent years, my efforts in minimalist market design led to the 2021 reform of the us army's branching system for its cadets to military specialties, the adoption of reserve systems during the covid-19 pandemic for vaccine allocation in 15 states and therapies in 2 states, and the deployment of a highly efficient liver exchange system in türkiye. this same methodology also predicted the rescission of a 1995 supreme court judgment in india, resulting in countless litigations and interruptions of public recruitment for 25 years, as well as the mandates of its replacement. in this monograph, i describe the philosophy, evolution, and successful applications of minimalist market design, contrasting it with the mainstream paradigm for the field. in doing so, i also provide a paradigm for economists who want to influence policy and change institutions through their research.",2023-12-30
"principle interference in technical and scientific translation","mohammad ibrahim qani","computation and language","in this article, i will explore the nature of interference in translation, especially in technical and scientific texts, using a descriptivist approach. i will have a brief overview of the historical excursion of interference in technical and scientific translation. my aim is to explain this phenomenon and its causes with all its paradoxes, instead of simply condemning it as an example of supposedly bad translation. thus, i will focus on its status in the bibliography of translation, on the motives for and consequences of interference in specialized translation, as well as on the nature of the arguments given for and against this phenomenon. therefore the relationship between different societies has always been possible with the act of translation. when civilizations are examined throughout history, it is seen that the dissemination of knowledge among different societies has been achieved by translation. these societies have often become aware of the advancements in technology and science by means of translation. therefore; translation becomes very significant in technical contact between societies and humans. since the translation of technical texts is the preliminary scope of this thesis, it will be beneficial to have a brief look at the history of technical translation in the world.",2023-12-30
"the hamiltonian for entangled states cannot be additive","kent a. peacock","history and philosophy of physics","the assumption that the system hamiltonian for entangled states is additive is widely used in orthodox quantum no-signalling arguments. it is shown that additivity implies a contradiction with the assumption that the system being studied is entangled.",2023-12-30
"relativity and quantum theory: under the spell of today's paradigms","stefan weigert","history and philosophy of physics","thomas s. kuhn interprets the development of the (natural) sciences as a specific dynamical process. periods of piecemeal growth of knowledge based on widely accepted paradigms are interrupted by bursts of revolutionary changes which lead to new paradigms incommensurate with the earlier ones. this process is briefly illustrated by recalling the changes to classical physics brought about by einstein's theory of relativity on the one hand, and by quantum theory on the other. both theories represent fundamental paradigms of contemporary physics. they appear unshakable to the working physicist but according to kuhn their paradigmatic status is of a temporary nature only. does kuhn's framework help us to identify potential future revolutions?",2023-12-29
"the arrow of time in music -- revisiting the temporal structure of music with distinguishability and unique orientability as the anchor point","qi xu","sound","driven by the term ""the arrow of time"" as a general topic, the article develops a musical discussion by referring to the etymological origin of the term: philosophy (epistemology) and physics (thermodynamics). in particular, the article explores two specific conditions: distinguishability and unique orientability, from which the article derives respective musical propositions and case studies. for the distinguishability condition, the article focuses on the ""recurrence"" in music and tries to interpret bach's christmas oratorio from the perspective of ""birth/resurrection"". for the unique orientability condition, the article discusses the process of delaying the climax, thereby proposing ""ab-aab left-replication"" model, implying an organicist view by treating the temporal structure of music (e.g. form) as the product of a dynamic process: organic growth.",2023-12-28
"seti at fast in china","tong-jie zhang, bo-lun huang, jian-kang li, zhen-zhao tao, xiao-hang luan, zhi-song zhang, yu-chen wang","earth and planetary astrophysics","since the commencement of the first seti observation in 2019, china's search for extraterrestrial intelligence program has garnered momentum through domestic support and international collaborations. several observations targeting exoplanets and nearby stars have been conducted with the fast. in 2023, the introduction of the far neighbour project(fnp) marks a substantial leap forward, driven by the remarkable sensitivity of the fast telescope and some of the novel observational techniques. the fnp seeks to methodically detect technosignatures from celestial bodies, including nearby stars, exoplanetary systems, milky way globular clusters, and more. this paper provides an overview of the progress achieved by seti in china and offers insights into the distinct phases comprising the fnp. additionally, it underscores the significance of this project's advancement and its potential contributions to the field.",2023-12-28
"on the hole argument and the physical interpretation of general relativity","jaume de haro","history and philosophy of physics","einstein presented the hole argument against general covariance, understood as invariance with respect to a change of coordinates, as a consequence of his initial failure to obtain covariant equations that, in the weak static limit, contain newton's law. fortunately, about two years later, einstein returned to general covariance and found these famous equations of gravity. however, the rejection of his hole argument carries a totally different vision of space-time. its substantivalism notion, which is an essential ingredient in newtonian theory and also in his special theory of relativity, has to be replaced, following descartes and leibniz's relationalism, by a set of ""point-coincidences.""",2023-12-27
"understanding news creation intents: frame, dataset, and method","zhengjia wang, danding wang, qiang sheng, juan cao, silong su, yifan sun, beizhe hu, siyuan ma","computation and language","as the disruptive changes in the media economy and the proliferation of alternative news media outlets, news intent has progressively deviated from ethical standards that serve the public interest. news intent refers to the purpose or intention behind the creation of a news article. while the significance of research on news intent has been widely acknowledged, the absence of a systematic news intent understanding framework hinders further exploration of news intent and its downstream applications. to bridge this gap, we propose news intent (nint) frame, the first component-aware formalism for understanding the news creation intent based on research in philosophy, psychology, and cognitive science. within this frame, we define the news intent identification task and provide a benchmark dataset with fine-grained labels along with an efficient benchmark method. experiments demonstrate that nint is beneficial in both the intent identification task and downstream tasks that demand a profound understanding of news. this work marks a foundational step towards a more systematic exploration of news creation intents.",2023-12-27
"robustness verification for knowledge-based logic of risky driving scenes","xia wang, anda liang, jonathan sprinkle, taylor t. johnson","artificial intelligence","many decision-making scenarios in modern life benefit from the decision support of artificial intelligence algorithms, which focus on a data-driven philosophy and automated programs or systems. however, crucial decision issues related to security, fairness, and privacy should consider more human knowledge and principles to supervise such ai algorithms to reach more proper solutions and to benefit society more effectively. in this work, we extract knowledge-based logic that defines risky driving formats learned from public transportation accident datasets, which haven't been analyzed in detail to the best of our knowledge. more importantly, this knowledge is critical for recognizing traffic hazards and could supervise and improve ai models in safety-critical systems. then we use automated verification methods to verify the robustness of such logic. more specifically, we gather 72 accident datasets from this http url and organize them by state. further, we train decision tree and xgboost models on each state's dataset, deriving accident judgment logic. finally, we deploy robustness verification on these tree-based models under multiple parameter combinations.",2023-12-27
"multiwavelength observations of gamma ray bursts","rahul gupta","high energy astrophysical phenomena","gamma-ray bursts (grbs) are fascinating sources studied in modern astronomy. they are extremely luminous electromagnetic explosions in the universe observed from cosmological distances. these unique characteristics provide a marvellous chance to study the evolution of massive stars and probe the rarely explored early universe. in addition, the central source's compactness and the high bulk lorentz factor in grb's ultra-relativistic jets make them efficient laboratories for studying high-energy astrophysics. grbs are the only astrophysical sources observed in two distinct signals: gravitational and electromagnetic waves. grbs are believed to be produced from a ""fireball"" moving at a relativistic speed, launched by a fast-rotating black hole or magnetar. grbs emit radiation in two phases: the initial gamma/hard x-rays prompt emission, the duration of which ranges from a few seconds to hours, followed by the multi-wavelength and long-lived afterglow phase. based on the observed time frame of grb prompt emission, astronomers have generally categorized grbs into two groups: long (> 2 s) and short (< 2 s) bursts. despite the discovery of grbs in the late 1960s, their origin is still a great mystery. there are several open questions related to grbs, such as: what powers the grbs jets/central engine? what are the possible progenitors? what is the jet composition? what is the underlying emission process that gives rise to observed radiation? where and how does the energy dissipation occur in the outflow? how to solve the radiative efficiency problem? what are the possible causes of dark grbs and orphan afterglows? how to investigate the local environment of grbs? etc. in this thesis, we explored some of these open enigmas (progenitor, emission mechanisms, jet composition and environment) using multi-wavelength observations obtained using space and ground-based facilities.",2023-12-26
"limits and epistemological barriers to the human knowledge of the natural world","j. e. horvath, r.r. fernandes, t.p. idiart","history and philosophy of physics","the goal of this article is to give an overview of the current limitations and epistemological barriers in science and scientific philosophy from a very general point of view. we first list and define the types of knowledge nous, doxa and episteme, and the subject-observer and object(s) of study, to proceed showing the different types of barriers that difficult the knowledge of the physical world: limitations in the language, in the logic of the subject-observer. later, we discriminate between technological barriers, (temporary) limits and absolute epistemic barriers. the last type of limits are presented and discussed in some detail: the quantum of action, planck's scale and quantum gravity (showing the importance of the trans-planckian scale for structure formation), the cosmological horizon (a limit to the present observable universe) and the event horizons (disconnecting the inside of some spacetimes from the rest of the universe). we argue that physical problems in which absolute barriers seem to determine the end of the attainable knowledge, are in fact amenable to be studied, at least indirectly.",2023-12-24
"the non-abelian aharonov-bohm effect","p. a. horvathy","high energy physics - theory","the scattering of a nucleon beam around a cylinder containing a non-abelian flux is studied. we confirm all the previsions of wu and yang. we consider the generalization to the gauge group $su(n)$, and derive a classification scheme. isospin precession is recovered also at the classical limit.",2023-12-26
"remembering nino boccara (1931--2018)","henryk fukś","history and philosophy of physics","in commemoration of the fifth anniversary since nino boccara's departure, this article offers some personal recollections and provides insight into his life and accomplishments. detailed bibliography of his works is included together with commentary highlighting his major achievements.",2023-12-13
"fisher's underworld and the behavioral-statistical reliability balance in scientific inference","ryan martin","statistics theory","that science and other domains are now largely data-driven means virtually unlimited opportunities for statisticians. with great power comes responsibility, so it's imperative that statisticians ensure that the methods being developing to solve these problems are reliable. but reliable in what sense? this question is problematic because different notions of reliability correspond to distinct statistical schools of thought, each with their own philosophy and methodology, often giving different answers in applications. to achieve the goal of reliably solving modern problems, i argue that a balance in the behavioral-statistical priorities is needed. towards this, i make use of fisher's ""underworld of probability"" to motivate a new property called invulnerability that, roughly, requires the statistician to avoid the risk of losing money in a long-run sense. then i go on to make connections between invulnerability and the more familiar behaviorally- and statistically-motivated notions, namely coherence and (frequentist-style) validity.",2023-12-22
"a non-causal reconceptualization of quantum field theory","christopher thron","general physics","quantum field theory currently has a single standard mathematical characterization (the standard model), but no single accepted conceptual framework to interpret the mathematics. many of these conceptualizations rely on intuitive concepts carried over from classical physics (such as ""particle"" and ""causality""). in this paper, instead of relying on classical concepts we attempt to infer a conceptualization directly from the mathematics. this reconceptualization leads to a physical reinterpretation of the paths involved in the standard model's action integral as traces of an accumulative process that occurs within an ""extraverse"", of which our observable spacetime is a single ""slice"". we briefly outline a rigorous mathematical model which validates the physical reinterpretation, and leads to predictions that are potentially verifiable by experiment. we contrast our model with other popular interpretations of quantum mechanics. we describe some of the metaphysical consequences of our proposed perspective. finally we present some speculations about an alternative approach that could possibly lead to a more satisfying, intuitively-graspable theory.",2023-12-18
"on the tensorial structure of general covariant quantum systems","gabriel m.carral, iñaki garay, francesca vidotto","general relativity and quantum cosmology","the definition of a quantum system requires a hilbert space, a way to define the dynamics, and an algebra of observables. the structure of the observable algebra is related to a tensor product decomposition of the hilbert space and represents the composition of the system by subsystems. it has been remarked that the hamiltonian may determine this tensor product structure. here we observe that this fact may lead to questionable consequences in some cases, and does extend to the more general background-independent case, where the hamiltonian is replaced by a hamiltonian constraint. these observations reinforces the idea that specifying the observables and the way they interplay with the dynamics, is essential to define a quantum theory. we also reflect on the general role that system decomposition has in the quantum theory.",2023-12-20
"explainable artificial intelligence approaches for brain-computer interfaces: a review and design space","param rajpura, hubert cecotti, yogesh kumar meena","human-computer interaction","this review paper provides an integrated perspective of explainable artificial intelligence techniques applied to brain-computer interfaces. bcis use predictive models to interpret brain signals for various high-stake applications. however, achieving explainability in these complex models is challenging as it compromises accuracy. the field of xai has emerged to address the need for explainability across various stakeholders, but there is a lack of an integrated perspective in xai for bci (xai4bci) literature. it is necessary to differentiate key concepts like explainability, interpretability, and understanding in this context and formulate a comprehensive framework. to understand the need of xai for bci, we pose six key research questions for a systematic review and meta-analysis, encompassing its purposes, applications, usability, and technical feasibility. we employ the prisma methodology -- preferred reporting items for systematic reviews and meta-analyses to review (n=1246) and analyze (n=84) studies published in 2015 and onwards for key insights. the results highlight that current research primarily focuses on interpretability for developers and researchers, aiming to justify outcomes and enhance model performance. we discuss the unique approaches, advantages, and limitations of xai4bci from the literature. we draw insights from philosophy, psychology, and social sciences. we propose a design space for xai4bci, considering the evolving need to visualize and investigate predictive model outcomes customised for various stakeholders in the bci development and deployment lifecycle. this paper is the first to focus solely on reviewing xai4bci research articles. this systematic review and meta-analysis findings with the proposed design space prompt important discussions on establishing standards for bci explanations, highlighting current limitations, and guiding the future of xai in bci.",2023-12-20
"robust machine learning by transforming and augmenting imperfect training data","elliot creager","machine learning","machine learning (ml) is an expressive framework for turning data into computer programs. across many problem domains -- both in industry and policy settings -- the types of computer programs needed for accurate prediction or optimal control are difficult to write by hand. on the other hand, collecting instances of desired system behavior may be relatively more feasible. this makes ml broadly appealing, but also induces data sensitivities that often manifest as unexpected failure modes during deployment. in this sense, the training data available tend to be imperfect for the task at hand. this thesis explores several data sensitivities of modern machine learning and how to address them. we begin by discussing how to prevent ml from codifying prior human discrimination measured in the training data, where we take a fair representation learning approach. we then discuss the problem of learning from data containing spurious features, which provide predictive fidelity during training but are unreliable upon deployment. here we observe that insofar as standard training methods tend to learn such features, this propensity can be leveraged to search for partitions of training data that expose this inconsistency, ultimately promoting learning algorithms invariant to spurious features. finally, we turn our attention to reinforcement learning from data with insufficient coverage over all possible states and actions. to address the coverage issue, we discuss how causal priors can be used to model the single-step dynamics of the setting where data are collected. this enables a new type of data augmentation where observed trajectories are stitched together to produce new but plausible counterfactual trajectories.",2023-12-19
"beyond fairness: alternative moral dimensions for assessing algorithms and designing systems","kimi wenzel, geoff kaufman, laura dabbish","computers and society","the ethics of artificial intelligence (ai) systems has risen as an imminent concern across scholarly communities. this concern has propagated a great interest in algorithmic fairness. large research agendas are now devoted to increasing algorithmic fairness, assessing algorithmic fairness, and understanding human perceptions of fairness. we argue that there is an overreliance on fairness as a single dimension of morality, which comes at the expense of other important human values. drawing from moral psychology, we present five moral dimensions that go beyond fairness, and suggest three ways these alternative dimensions may contribute to ethical ai development.",2023-12-19
"the dsa transparency database: auditing self-reported moderation actions by social media","amaury trujillo, tiziano fagni, stefano cresci","social and information networks","since september 2023, the digital services act (dsa) obliges large online platforms to submit detailed data on each moderation action they take within the european union (eu) to the dsa transparency database. from its inception, this centralized database has sparked scholarly interest as an unprecedented and potentially unique trove of data on real-world online moderation. here, we thoroughly analyze all 353.12m records submitted by the eight largest social media platforms in the eu during the first 100 days of the database. specifically, we conduct a platform-wise comparative study of their: volume of moderation actions, grounds for decision, types of applied restrictions, types of moderated content, timeliness in undertaking and submitting moderation actions, and use of automation. furthermore, we systematically cross-check the contents of the database with the platforms' own transparency reports. our analyses reveal that (i) the platforms adhered only in part to the philosophy and structure of the database, (ii) the structure of the database is partially inadequate for the platforms' reporting needs, (iii) the platforms exhibited substantial differences in their moderation actions, (iv) a remarkable fraction of the database data is inconsistent, (v) the platform x (formerly twitter) presents the most inconsistencies. our findings have far-reaching implications for policymakers and scholars across diverse disciplines. they offer guidance for future regulations that cater to the reporting needs of online platforms in general, but also highlight opportunities to improve and refine the database itself.",2023-12-16
"the instituto argentino de radioastronomía (iar): past, present, and future","gustavo e. romero","history and philosophy of physics","i present a brief review of the history of the instituto argentino de radioastronomía, a description of its current facilities and projects, and a view of his prospects for the future.",2023-12-15
"introspecting the happiness amongst university students using machine learning","sakshi ranjan, pooja priyadarshini, subhankar mishra","computers and society","happiness underlines the intuitive constructs of a specified population based on positive psychological outcomes. it is the cornerstone of the cognitive skills and exploring university student's happiness has been the essence of the researchers lately. in this study, we have analyzed the university student's happiness and its facets using statistical distribution charts; designing research questions. furthermore, regression analysis, machine learning, and clustering algorithms were applied on the world happiness dataset and university student's dataset for training and testing respectively. philosophy was the happiest department while sociology the saddest; average happiness score being 2.8 and 2.44 respectively. pearson coefficient of correlation was 0.74 for health. predicted happiness score was 5.2 and the goodness of model fit was 51%. train and test error being 0.52, 0.47 respectively. on a confidence interval(ci) of 5% p-value was least for campus environment(ce) and university reputation(ur) and maximum for extra-curricular activities(eca) and work balance(wb) (i.e. 0.184 and 0.228 respectively). rf with clustering got the highest accuracy(89%) and f score(0.98) and the least error(17.91%), hence turned out to be best for our study",2023-12-14
"assessing llms for moral value pluralism","noam benkler, drisana mosaphir, scott friedman, andrew smart, sonja schmer-galunder","computation and language","the fields of ai current lacks methods to quantitatively assess and potentially alter the moral values inherent in the output of large language models (llms). however, decades of social science research has developed and refined widely-accepted moral value surveys, such as the world values survey (wvs), eliciting value judgments from direct questions in various geographies. we have turned those questions into value statements and use nlp to compute to how well popular llms are aligned with moral values for various demographics and cultures. while the wvs is accepted as an explicit assessment of values, we lack methods for assessing implicit moral and cultural values in media, e.g., encountered in social media, political rhetoric, narratives, and generated by ai systems such as llms that are increasingly present in our daily lives. as we consume online content and utilize llm outputs, we might ask, which moral values are being implicitly promoted or undercut, or -- in the case of llms -- if they are intending to represent a cultural identity, are they doing so consistently? in this paper we utilize a recognizing value resonance (rvr) nlp model to identify wvs values that resonate and conflict with a given passage of output text. we apply rvr to the text generated by llms to characterize implicit moral values, allowing us to quantify the moral/cultural distance between llms and various demographics that have been surveyed using the wvs. in line with other work we find that llms exhibit several western-centric value biases; they overestimate how conservative people in non-western countries are, they are less accurate in representing gender for non-western countries, and portray older populations as having more traditional values. our results highlight value misalignment and age groups, and a need for social science informed technological solutions addressing value plurality in llms.",2023-12-08
"llamantino: llama 2 models for effective text generation in italian language","pierpaolo basile, elio musacchio, marco polignano, lucia siciliani, giuseppe fiameni, giovanni semeraro","computation and language","large language models represent state-of-the-art linguistic models designed to equip computers with the ability to comprehend natural language. with its exceptional capacity to capture complex contextual relationships, the llama (large language model meta ai) family represents a novel advancement in the field of natural language processing by releasing foundational models designed to improve the natural language understanding abilities of the transformer architecture thanks to their large amount of trainable parameters (7, 13, and 70 billion parameters). in many natural language understanding tasks, these models obtain the same performances as private company models such as openai chat-gpt with the advantage to make publicly available weights and code for research and commercial uses. in this work, we investigate the possibility of language adaptation for llama models, explicitly focusing on addressing the challenge of italian language coverage. adopting an open science approach, we explore various tuning approaches to ensure a high-quality text generated in italian suitable for common tasks in this underrepresented language in the original models' datasets. we aim to release effective text generation models with strong linguistic properties for many tasks that seem challenging using multilingual or general-purpose llms. by leveraging an open science philosophy, this study contributes to language adaptation strategies for the italian language by introducing the novel llamantino family of italian llms.",2023-12-15
