"...1","Movie Title","Review Title","Reviewer","Review","Date","Ratings","date","ratings"
2166,"the holdovers (2023)","bob marley: one love offers worthwhile elements, but it falls short of elite status, akin to films like ray or walk the line","kevinrobbins","a marley fan i went in worried having read the critics reviews ultimately saying its ok with some great performances but a missed opportunity as its bubblegum marleyi disagree this was a compelling and entertaining movie sure there is some rich material that was left untapped but it would take a netflix series to unwrap his life  one day maybeendorsed by and produced by the marley family its clear that they wanted it to be about hope love unity and the making of his definitive album exodus but they also did touch on some of the tougher material  but maybe didnt dwell on it as much as the critics would like we dont witness his ill health and death but do we really need to i dont think solots of references and small touches that will resonate with those who know his story well that may be missed by others if you know you know and that adds an extra layer but none of that knowledge is needed to enjoy the moviethe soundtrack is of course fantastic and acts as a narrative through the movie there is emotion joy and a clear missiona very well executed and acted biopic that although pulls a few punches doesnt fail to entertain and give the viewer a window into marley yes it leaves you wanting morebut thats fine by me come on netflix ","17 february 2024","6/10",2024-02-17,NA
2167,"the holdovers (2023)","i was scared this was going to happen","kevinfaftine","one love feels like a totally cynical corporate product and one that contains all of the worst aspects of the recent musical biopic trends in one film i dont think it does anything to get to the heart of why bob marley was as revered as he was and its completely lacking any of the impact or energy it needed to tell his story in an effective way like most of these movies i know very little about the real life figures being portrayed and if i only had this movie to go off i would be completely dumbfounded as to why any of these events were worth being depicted on filmthe whole thing just feels totally flat and without life kingsley benadir is fine but usually the one thing i can usually count on with these movies is outstanding acting but the script here didnt give him much to work with and it comes across in his performance rather than presenting an actual depict of this person the whole thing just feels like the expected snapshots of marleys career and life and its so scattershot in its execution that nothing the character does has much of any impact even something as simple as seeing him perform for the first time just comes and goes without any sort of impact and the story itself didnt serve the legend that marley was any betteri appreciate the fact that the film didnt go with the cradletograve structure but it still took a very expected and uninspired approach after some very badly inserted text it seems to be established that the whole thing is going to revolve around the build up to one concert but thats mostly done away with within the first  minutes after that the whole thing just chugs along at a totally meandering pace full of bland montages and eye rolling family drama that just makes the entire film feel unfocused thats in large part due to bad editing and also fairly uninspired work behind the camerathe whole technical approach feels totally defunct and it never really felt like renaldo marcus green or the writers decided what they wanted to say about this mans life and legacy the film drops us into the middle of marleys career without any kind of indication as to why he became such a phenomenon or how he came to be the way he is and because of that i was never that invested in the journey the film tries and fails to take him on theres also a lot of political and social elements at play in this script that are supposed to motivate marley and none of it feels tangible the few moments of social upheaval we see are few and far between and even then theyre executed it a totally uninteresting way that totally rob them of effectiveness the film also ends before marley can actually accomplish much of anything so the whole narrative just ends up feeling like a prolonged first acti always thought that something like bohemian rhapsody would be the worst thing to come out of the musical biopic phenomenon but i actually think id rate that movie over one love because for all that films faults and it has too many to list here i at least thought it did some justice to the legendary status of queen as well as having some genuinely riveting concert sequences this film not only totally fails at presenting an interesting portrait of its title character but its also totally unengaging as a viewing experience im not going to claim to be an expert on marley or his music but even as a passive admirer i am still totally aware at how much this film doesnt do his legacy justice as of now i think its time these musical biopics stopped until we get approaches that feel fitting for the lives and long lasting impact of these musicians","18 february 2024","6/10",2024-02-18,NA
2168,"the holdovers (2023)","too safe,too official,little passion for subject.","ibfi","bob marley one love is a thoroughly generic biopic told in an entertaining fashion it starts off with an interesting idea focusing on a specific part of marleys life and honing in on the unifying power of his music before quickly becoming the kind of biopic thats been done so many times before frustratingly saving the most powerful moment for the archive footage at the endeven when this genre is at its blandest the central performance is rarely the problem and thats absolutely the case here kingsley benadir gives a wonderful performance that never strays into parody and is the only time the film comes close to making marley feel human its also great that lashana lynch is given so much supporting whilst still getting some spotlightreinaldo marcus greens direction ends the film a little too early and uses a flashback heavy structure to hit all the required beats but its all done in a technically competent and very serious way which helps the soundtrack is obviously a major highlight however the score by kris bowers is an unexpected highlight thanks to its very dramatic nature","19 february 2024","6/10",2024-02-19,NA
2169,"the holdovers (2023)","don't let the critics roadblock!","kzjbdz","bob marley died at the tender age of just  from a rare skin cancer but his legacy lives on some  years later not only in his music also this new biopic bob marley one love in cinemas nownot only was one love one of marleys biggest hit singles it also helps sum up his rastafarian philosophy on life love and peacethese are subjects that form the basis of this movie that starts from his early years through to his death in a defining figure in modern ethiopian history the emperor of ethiopia haile selassie and key figure of the religious movement rastafari is given more than a passing nod because of his deep influence on marleys belief system which is reflected in his lyrics and musicthis film is loaded with flashbacks that give us an insight into his past experiences with his mother and faceless white father his early days in trench town jamaica to his first recording sessionone love is the story of how marley overcame his adversity including poverty to become a superstar in the mid to late sit tracks his musical journey from obscurity to the world stage and the revolutionary power of his music to unite his people during one of most tumultuous  violent political times in jamaican historyeverything is on the table including the assassination attempt on his life in his own home his wife  family most of whom share some credits for this project his infidelities plus his band and musical processkingsley benadir barbie as bob proves he is kenough to play the lead role as is lashana lynch as rita marleylynch only broke her jamaican accent once over nearly two hours to reveal her true british voicein fact if i have one serious complaint its that the jamaican accents are so damn good its often difficult to understand what they are sayingdont get me wrong i dont like cricket i love it however when jamaican commentators talk during the game i struggle to hear a wordthe same goes for this film and its such a beautiful rhythmical accent that i could listen all day man i  ithank goodness for the music when the dialogue leaves something to be desiredreggae is the peoples music after all coming together to celebrate one anotherkingsley was so committed to his character he learned all the songs he has to perform live in recording studios and in concert even though they are dubbed by the real marley its adds to the authenticitythe late wailer neville garrick even offered his own personal experiences of songwriting with marley as a consultant on this moviebobs son ziggy marley produced this movie as a tribute to his dad to share their special relationship while director reinaldo marcus green kings richard is faithful to this legendary singers life storythe movie was mostly shot in kingston jamaica and it is visually stunning on the beaches and on strawberry hilljames norton plays island records boss chris blackwell who was crucial to the success of marleys careerif you share time magazines appreciation of exodus as one of the greatest albums of the th century then you are going to love watching it being created in londonbob marley fans will be moved by one lovea film that avoided the trap of being a jukebox musical by sensitively sharing more of his lesser known hits and their organic creation until the closing creditsit was a beautiful story just waiting to be told by the right people and in the most part it was with some clever editing and screenplaythe attention to period detail is impressive even down to the orange amplifiers and neumann u microphones in the london recording studio and cover artwork for exoduslets get together and feel alright by watching bob marley one love on the big screen","14 february 2024","8/10",2024-02-14,NA
2170,"the holdovers (2023)","the musical biopic at it's absolute worst","cdjh","couldnt quite judge the accent but overall i thought it was alright however there were moments when i couldnt fully grasp everything they were saying but thats a me problem i remember i had caribbean friends in during university and sometimes i didnt always get everythingconsidering bobs already a famous and beloved figure i expected something good unfortunately i didnt enjoy it and found it somewhat of a little bit chore to sit through thinking it couldve been paced better however my sister loved it so maybe its just methe movie had a somewhat monotonous atmosphere no moment stood out as particularly bad but there were no peaks either resulting in a rather anticlimactic feel certain aspects both individual moments and general themes had the potential to be invigorating but fell flat for instance bob marleys daring performance despite risking his life felt underwhelmingjust meh the theme about his music being the message and changing people also failed to leave a lasting impression the movie felt forgettablewhile there were no outright bad scenes nothing felt particularly special or aweinspiring i thought the plot was also a bit jumpy its disappointing how they chose to tell bob marleys story and the only surprise during the credits was seeing brad pitts nameone commendable aspect is kingsley benadirs performance which i thought was great and worthy of a better movie his aura outshone the rest of the cast hes the one reason id recommend this there were also a few moments of laughter with jokes that had the theater giggling a little its by no means a laugh fest though i just expected a more memorable experience when i walked in to watch this","15 february 2024","4/10",2024-02-15,NA
2171,"the holdovers (2023)","i wanted more from it, but to be fair it is still a decent flick in my opinion","rsk","we do have a lengthy cast list here but one love is anchoredcarried by  performances kingsley benadir has the screen presence to carry this project he nails the accent and even has a lot of physicality to his work in one love the emotion he brings to the table helps you understand why bob marley was idolized and beloved by so many i wish the movie had explored more periods of bob marleys life just so we could have seen what kingsley would have brought to them i expected benadir to be good but the more surprising but equally impressive acting came from lashana lynch as bob marleys wife rita ive only seen lashana previously in tentpoleesque studio fare no time to die and captain marvel but she transforms in one love and i hope both her and kingsley get some awards consideration to the movies credit both bob and rita are presented as complex and multilayered characters and represent the clay that kingsley and lashana moulded beautifully with their work in one loveits a more minor note but one of the surprise boxes one love ticks is that i think its filmedshot well the camera work highlights some of jamaicas natural beauty but also shows some of the less camera friendly aspects of it as well the cgi isnt topnotch but it wasnt bad enough to draw attention to i have a friend who i saw the movie with who visited jamaica and she was calling out parts of the country she toured in her vacation i cant call one love a visual tour de force but there were shots littered throughout the movie that caught my attention and i think its worth crediting the team for their work in this filmso far you may be confused on why my rating for bob marley one love is so low and it does have a lot of notable pluses but the unfortunate truth of the matter is that despite the acting and cinematography being striking and stimulating the odd structure the movie insists on using to reveal its narrative really hampers the proceedings my best friend compared the movies structure as counting to  as if it were  the film is disorganized and almost confusing unless youre intimately familiar with marleys life im passively familiar at best i did like some of his music and i knew he passed away relatively young subplots are created and dropped eg marleys greedy business manager the drama surrounding marleys father the political unrest in jamaica in the mid s frequently and it helps stop the movie from gelling together appropriately it also dampens the impact of marleys passing because the fact hes terminally ill is introduced so late that you cant get emotionally invested theres a pretty concrete formula about how to operate in this genre and while i admire the screenwriters attempt to try something different it does the movie a disservice insteadeverything to create a compelling and informative film about bob marleys life was here we have some terrific performances some interesting cinematography and marley and his story are inspiring and his message still prescient even today but the result of one love is a puzzling and mildly disappointing misfire i understand that the studio and the creative team wanting to circumvent the formula but you still have to justify it by showing us a new angle or creating something memorable bob marley one love as a product is fine but i think its subject deserved a better movie id really rate one love somewhere between a  but i rounding down because of what they squandered in this production one love is still worth a watch but as we frequently get some really fantastic movies in this genre id recommend it only to marley fans as theres better films about other musicians available for your viewing pleasure","14 february 2024","7/10",2024-02-14,NA
2172,"the holdovers (2023)","kingsley ben-adir and latasha lynch are fantastic but shoddy construction drags down one love","canpatbuck","we went to see this movie on a whim and although i am not someone who listens to reggae music i would like to learn more about it and see what bob marley was in our world the story was not the easiest to follow because it it jumped around in time which isnt usually difficult to follow but it was in this movie there were aspects missing that would have brought this movie together much betteri found i enjoyed the music very much and i did get a sense of why bob marley was an important figurehead in the attempt of taking away hate at teaching love to alli thought the actress who played bobs wife was fantastic i felt a lot of pain and strife that she must have experienced as the celebrity status of her husband soared to me she was the best part of the moviethis was an interesting movie with fine performances but it felt a bit rushed and scattered in its writing","17 february 2024","6/10",2024-02-17,NA
2173,"the holdovers (2023)","an interesting movie, but a bit all over the place","acdcmp","bob marley is one of the most recognizable names in the world whose music cultural influence and message of unity transcends borders and while reinaldo marcus greens bob marley one love tries to portray his influence and legacy on screen the movies lowrisk conventional approach makes it a rather hollow experiencethe movie is as vanilla as it gets with nothing really standing out and that extends to lead actor kingsley benadir who while i think is a great actor just isnt able to make the character work he seems to be trying his best to replicate the legend but is quite not all there with his portrayal that were always aware were watching an actor play bob marley and not bob marley himselfwhile bob marley one love is not as boring as some of the other musical biopics ive seen like i wanna dance with somebody or the united states vs billie holiday it surely doesnt do enough to be worth recommending its yet another biopic that plays like a collection of vignettes than an actual narrative story with some greatest hits backing tracks it certainly doesnt do marleys legacy any justice","17 february 2024","6/10",2024-02-17,NA
2174,"the holdovers (2023)","what legacy?","isaacsundaralingam","my wife and i attended a screening of bob marley one love  last night the narrative traces bob marleys journey to fame navigating the violence in his home and channeling it as a creative force for success we glimpse flashbacks of his family life marked by maternal abandonment and the pivotal role of his wife in propelling him from adversity to stardomdirected by reinaldo marcus green king richard the film features kingsley benadir peaky blinders lashana lynch no time to die aston barrett jr james norton little women and tosin cole house partythe movie presents an uneven experience with aspects that captivated me and others that fell short the exploration of marleys upbringing and its surrounding circumstances was excellent and enlightening and the love story was compelling the portrayal of marleys global and domestic influence was also commendable however kingsley benadirs attempt to embody marleys unique awkward and unpredictable persona felt somewhat inauthentic his meticulously perfect wig and attire contrasted with marleys natural islander vibe as seen in videos during the closing creditsin conclusion bob marley one love offers worthwhile elements but it falls short of elite status akin to films like ray or walk the line id give it a  and suggest watching it at least once","15 february 2024","5/10",2024-02-15,NA
2175,"the holdovers (2023)","save your money and check out the 2012 ""marley"" doxcumentary","paulallaer","when watching the trailers i was scared they were gonna focus more on the music than on the man and thats exactly what happensi feel like they remained s surface level on bob marley the man and focused more on what his music brought and i think thats what happens when family is heavily involved in the movie because they will want to play safe and thats what this movie does with the character of bob marleythe screenplay also didnt feel like a final draft some of the dialogue felt repetitive and some of it quite cringy and for negatives thats what i havekingsley benadir and lashana lynch absolutely kill it they are fantastic and an early oscar contender performances another thing i was scared was the accents because at times they can go to over the top and make it feel like a parody but they werent they nailed itthe music was also emaculate if youre a fan of his music youll love what they did and how they paid their respectsi feel like for the right audience this definitely will be amazing its a cool movie fun time i just wish we could learn more about bob marley not just his music","18 february 2024","4/10",2024-02-18,NA
2176,"the holdovers (2023)","bob marley: one love offers worthwhile elements, but it falls short of elite status, akin to films like ray or walk the line","kevinrobbins","a marley fan i went in worried having read the critics reviews ultimately saying its ok with some great performances but a missed opportunity as its bubblegum marleyi disagree this was a compelling and entertaining movie sure there is some rich material that was left untapped but it would take a netflix series to unwrap his life  one day maybeendorsed by and produced by the marley family its clear that they wanted it to be about hope love unity and the making of his definitive album exodus but they also did touch on some of the tougher material  but maybe didnt dwell on it as much as the critics would like we dont witness his ill health and death but do we really need to i dont think solots of references and small touches that will resonate with those who know his story well that may be missed by others if you know you know and that adds an extra layer but none of that knowledge is needed to enjoy the moviethe soundtrack is of course fantastic and acts as a narrative through the movie there is emotion joy and a clear missiona very well executed and acted biopic that although pulls a few punches doesnt fail to entertain and give the viewer a window into marley yes it leaves you wanting morebut thats fine by me come on netflix ","17 february 2024","6/10",2024-02-17,NA
2177,"the holdovers (2023)","i was scared this was going to happen","kevinfaftine","one love feels like a totally cynical corporate product and one that contains all of the worst aspects of the recent musical biopic trends in one film i dont think it does anything to get to the heart of why bob marley was as revered as he was and its completely lacking any of the impact or energy it needed to tell his story in an effective way like most of these movies i know very little about the real life figures being portrayed and if i only had this movie to go off i would be completely dumbfounded as to why any of these events were worth being depicted on filmthe whole thing just feels totally flat and without life kingsley benadir is fine but usually the one thing i can usually count on with these movies is outstanding acting but the script here didnt give him much to work with and it comes across in his performance rather than presenting an actual depict of this person the whole thing just feels like the expected snapshots of marleys career and life and its so scattershot in its execution that nothing the character does has much of any impact even something as simple as seeing him perform for the first time just comes and goes without any sort of impact and the story itself didnt serve the legend that marley was any betteri appreciate the fact that the film didnt go with the cradletograve structure but it still took a very expected and uninspired approach after some very badly inserted text it seems to be established that the whole thing is going to revolve around the build up to one concert but thats mostly done away with within the first  minutes after that the whole thing just chugs along at a totally meandering pace full of bland montages and eye rolling family drama that just makes the entire film feel unfocused thats in large part due to bad editing and also fairly uninspired work behind the camerathe whole technical approach feels totally defunct and it never really felt like renaldo marcus green or the writers decided what they wanted to say about this mans life and legacy the film drops us into the middle of marleys career without any kind of indication as to why he became such a phenomenon or how he came to be the way he is and because of that i was never that invested in the journey the film tries and fails to take him on theres also a lot of political and social elements at play in this script that are supposed to motivate marley and none of it feels tangible the few moments of social upheaval we see are few and far between and even then theyre executed it a totally uninteresting way that totally rob them of effectiveness the film also ends before marley can actually accomplish much of anything so the whole narrative just ends up feeling like a prolonged first acti always thought that something like bohemian rhapsody would be the worst thing to come out of the musical biopic phenomenon but i actually think id rate that movie over one love because for all that films faults and it has too many to list here i at least thought it did some justice to the legendary status of queen as well as having some genuinely riveting concert sequences this film not only totally fails at presenting an interesting portrait of its title character but its also totally unengaging as a viewing experience im not going to claim to be an expert on marley or his music but even as a passive admirer i am still totally aware at how much this film doesnt do his legacy justice as of now i think its time these musical biopics stopped until we get approaches that feel fitting for the lives and long lasting impact of these musicians","18 february 2024","6/10",2024-02-18,NA
2178,"the holdovers (2023)","too safe,too official,little passion for subject.","ibfi","bob marley one love is a thoroughly generic biopic told in an entertaining fashion it starts off with an interesting idea focusing on a specific part of marleys life and honing in on the unifying power of his music before quickly becoming the kind of biopic thats been done so many times before frustratingly saving the most powerful moment for the archive footage at the endeven when this genre is at its blandest the central performance is rarely the problem and thats absolutely the case here kingsley benadir gives a wonderful performance that never strays into parody and is the only time the film comes close to making marley feel human its also great that lashana lynch is given so much supporting whilst still getting some spotlightreinaldo marcus greens direction ends the film a little too early and uses a flashback heavy structure to hit all the required beats but its all done in a technically competent and very serious way which helps the soundtrack is obviously a major highlight however the score by kris bowers is an unexpected highlight thanks to its very dramatic nature","19 february 2024","6/10",2024-02-19,NA
2179,"the holdovers (2023)","don't let the critics roadblock!","kzjbdz","bob marley died at the tender age of just  from a rare skin cancer but his legacy lives on some  years later not only in his music also this new biopic bob marley one love in cinemas nownot only was one love one of marleys biggest hit singles it also helps sum up his rastafarian philosophy on life love and peacethese are subjects that form the basis of this movie that starts from his early years through to his death in a defining figure in modern ethiopian history the emperor of ethiopia haile selassie and key figure of the religious movement rastafari is given more than a passing nod because of his deep influence on marleys belief system which is reflected in his lyrics and musicthis film is loaded with flashbacks that give us an insight into his past experiences with his mother and faceless white father his early days in trench town jamaica to his first recording sessionone love is the story of how marley overcame his adversity including poverty to become a superstar in the mid to late sit tracks his musical journey from obscurity to the world stage and the revolutionary power of his music to unite his people during one of most tumultuous  violent political times in jamaican historyeverything is on the table including the assassination attempt on his life in his own home his wife  family most of whom share some credits for this project his infidelities plus his band and musical processkingsley benadir barbie as bob proves he is kenough to play the lead role as is lashana lynch as rita marleylynch only broke her jamaican accent once over nearly two hours to reveal her true british voicein fact if i have one serious complaint its that the jamaican accents are so damn good its often difficult to understand what they are sayingdont get me wrong i dont like cricket i love it however when jamaican commentators talk during the game i struggle to hear a wordthe same goes for this film and its such a beautiful rhythmical accent that i could listen all day man i  ithank goodness for the music when the dialogue leaves something to be desiredreggae is the peoples music after all coming together to celebrate one anotherkingsley was so committed to his character he learned all the songs he has to perform live in recording studios and in concert even though they are dubbed by the real marley its adds to the authenticitythe late wailer neville garrick even offered his own personal experiences of songwriting with marley as a consultant on this moviebobs son ziggy marley produced this movie as a tribute to his dad to share their special relationship while director reinaldo marcus green kings richard is faithful to this legendary singers life storythe movie was mostly shot in kingston jamaica and it is visually stunning on the beaches and on strawberry hilljames norton plays island records boss chris blackwell who was crucial to the success of marleys careerif you share time magazines appreciation of exodus as one of the greatest albums of the th century then you are going to love watching it being created in londonbob marley fans will be moved by one lovea film that avoided the trap of being a jukebox musical by sensitively sharing more of his lesser known hits and their organic creation until the closing creditsit was a beautiful story just waiting to be told by the right people and in the most part it was with some clever editing and screenplaythe attention to period detail is impressive even down to the orange amplifiers and neumann u microphones in the london recording studio and cover artwork for exoduslets get together and feel alright by watching bob marley one love on the big screen","14 february 2024","8/10",2024-02-14,NA
2180,"the holdovers (2023)","the musical biopic at it's absolute worst","cdjh","couldnt quite judge the accent but overall i thought it was alright however there were moments when i couldnt fully grasp everything they were saying but thats a me problem i remember i had caribbean friends in during university and sometimes i didnt always get everythingconsidering bobs already a famous and beloved figure i expected something good unfortunately i didnt enjoy it and found it somewhat of a little bit chore to sit through thinking it couldve been paced better however my sister loved it so maybe its just methe movie had a somewhat monotonous atmosphere no moment stood out as particularly bad but there were no peaks either resulting in a rather anticlimactic feel certain aspects both individual moments and general themes had the potential to be invigorating but fell flat for instance bob marleys daring performance despite risking his life felt underwhelmingjust meh the theme about his music being the message and changing people also failed to leave a lasting impression the movie felt forgettablewhile there were no outright bad scenes nothing felt particularly special or aweinspiring i thought the plot was also a bit jumpy its disappointing how they chose to tell bob marleys story and the only surprise during the credits was seeing brad pitts nameone commendable aspect is kingsley benadirs performance which i thought was great and worthy of a better movie his aura outshone the rest of the cast hes the one reason id recommend this there were also a few moments of laughter with jokes that had the theater giggling a little its by no means a laugh fest though i just expected a more memorable experience when i walked in to watch this","15 february 2024","4/10",2024-02-15,NA
2181,"the holdovers (2023)","i wanted more from it, but to be fair it is still a decent flick in my opinion","rsk","we do have a lengthy cast list here but one love is anchoredcarried by  performances kingsley benadir has the screen presence to carry this project he nails the accent and even has a lot of physicality to his work in one love the emotion he brings to the table helps you understand why bob marley was idolized and beloved by so many i wish the movie had explored more periods of bob marleys life just so we could have seen what kingsley would have brought to them i expected benadir to be good but the more surprising but equally impressive acting came from lashana lynch as bob marleys wife rita ive only seen lashana previously in tentpoleesque studio fare no time to die and captain marvel but she transforms in one love and i hope both her and kingsley get some awards consideration to the movies credit both bob and rita are presented as complex and multilayered characters and represent the clay that kingsley and lashana moulded beautifully with their work in one loveits a more minor note but one of the surprise boxes one love ticks is that i think its filmedshot well the camera work highlights some of jamaicas natural beauty but also shows some of the less camera friendly aspects of it as well the cgi isnt topnotch but it wasnt bad enough to draw attention to i have a friend who i saw the movie with who visited jamaica and she was calling out parts of the country she toured in her vacation i cant call one love a visual tour de force but there were shots littered throughout the movie that caught my attention and i think its worth crediting the team for their work in this filmso far you may be confused on why my rating for bob marley one love is so low and it does have a lot of notable pluses but the unfortunate truth of the matter is that despite the acting and cinematography being striking and stimulating the odd structure the movie insists on using to reveal its narrative really hampers the proceedings my best friend compared the movies structure as counting to  as if it were  the film is disorganized and almost confusing unless youre intimately familiar with marleys life im passively familiar at best i did like some of his music and i knew he passed away relatively young subplots are created and dropped eg marleys greedy business manager the drama surrounding marleys father the political unrest in jamaica in the mid s frequently and it helps stop the movie from gelling together appropriately it also dampens the impact of marleys passing because the fact hes terminally ill is introduced so late that you cant get emotionally invested theres a pretty concrete formula about how to operate in this genre and while i admire the screenwriters attempt to try something different it does the movie a disservice insteadeverything to create a compelling and informative film about bob marleys life was here we have some terrific performances some interesting cinematography and marley and his story are inspiring and his message still prescient even today but the result of one love is a puzzling and mildly disappointing misfire i understand that the studio and the creative team wanting to circumvent the formula but you still have to justify it by showing us a new angle or creating something memorable bob marley one love as a product is fine but i think its subject deserved a better movie id really rate one love somewhere between a  but i rounding down because of what they squandered in this production one love is still worth a watch but as we frequently get some really fantastic movies in this genre id recommend it only to marley fans as theres better films about other musicians available for your viewing pleasure","14 february 2024","7/10",2024-02-14,NA
2182,"the holdovers (2023)","kingsley ben-adir and latasha lynch are fantastic but shoddy construction drags down one love","canpatbuck","we went to see this movie on a whim and although i am not someone who listens to reggae music i would like to learn more about it and see what bob marley was in our world the story was not the easiest to follow because it it jumped around in time which isnt usually difficult to follow but it was in this movie there were aspects missing that would have brought this movie together much betteri found i enjoyed the music very much and i did get a sense of why bob marley was an important figurehead in the attempt of taking away hate at teaching love to alli thought the actress who played bobs wife was fantastic i felt a lot of pain and strife that she must have experienced as the celebrity status of her husband soared to me she was the best part of the moviethis was an interesting movie with fine performances but it felt a bit rushed and scattered in its writing","17 february 2024","6/10",2024-02-17,NA
2183,"the holdovers (2023)","an interesting movie, but a bit all over the place","acdcmp","bob marley is one of the most recognizable names in the world whose music cultural influence and message of unity transcends borders and while reinaldo marcus greens bob marley one love tries to portray his influence and legacy on screen the movies lowrisk conventional approach makes it a rather hollow experiencethe movie is as vanilla as it gets with nothing really standing out and that extends to lead actor kingsley benadir who while i think is a great actor just isnt able to make the character work he seems to be trying his best to replicate the legend but is quite not all there with his portrayal that were always aware were watching an actor play bob marley and not bob marley himselfwhile bob marley one love is not as boring as some of the other musical biopics ive seen like i wanna dance with somebody or the united states vs billie holiday it surely doesnt do enough to be worth recommending its yet another biopic that plays like a collection of vignettes than an actual narrative story with some greatest hits backing tracks it certainly doesnt do marleys legacy any justice","17 february 2024","6/10",2024-02-17,NA
2184,"the holdovers (2023)","what legacy?","isaacsundaralingam","my wife and i attended a screening of bob marley one love  last night the narrative traces bob marleys journey to fame navigating the violence in his home and channeling it as a creative force for success we glimpse flashbacks of his family life marked by maternal abandonment and the pivotal role of his wife in propelling him from adversity to stardomdirected by reinaldo marcus green king richard the film features kingsley benadir peaky blinders lashana lynch no time to die aston barrett jr james norton little women and tosin cole house partythe movie presents an uneven experience with aspects that captivated me and others that fell short the exploration of marleys upbringing and its surrounding circumstances was excellent and enlightening and the love story was compelling the portrayal of marleys global and domestic influence was also commendable however kingsley benadirs attempt to embody marleys unique awkward and unpredictable persona felt somewhat inauthentic his meticulously perfect wig and attire contrasted with marleys natural islander vibe as seen in videos during the closing creditsin conclusion bob marley one love offers worthwhile elements but it falls short of elite status akin to films like ray or walk the line id give it a  and suggest watching it at least once","15 february 2024","5/10",2024-02-15,NA
2185,"the holdovers (2023)","save your money and check out the 2012 ""marley"" doxcumentary","paulallaer","when watching the trailers i was scared they were gonna focus more on the music than on the man and thats exactly what happensi feel like they remained s surface level on bob marley the man and focused more on what his music brought and i think thats what happens when family is heavily involved in the movie because they will want to play safe and thats what this movie does with the character of bob marleythe screenplay also didnt feel like a final draft some of the dialogue felt repetitive and some of it quite cringy and for negatives thats what i havekingsley benadir and lashana lynch absolutely kill it they are fantastic and an early oscar contender performances another thing i was scared was the accents because at times they can go to over the top and make it feel like a parody but they werent they nailed itthe music was also emaculate if youre a fan of his music youll love what they did and how they paid their respectsi feel like for the right audience this definitely will be amazing its a cool movie fun time i just wish we could learn more about bob marley not just his music","18 february 2024","4/10",2024-02-18,NA
2186,"the holdovers (2023)","bob marley: one love offers worthwhile elements, but it falls short of elite status, akin to films like ray or walk the line","kevinrobbins","a marley fan i went in worried having read the critics reviews ultimately saying its ok with some great performances but a missed opportunity as its bubblegum marleyi disagree this was a compelling and entertaining movie sure there is some rich material that was left untapped but it would take a netflix series to unwrap his life  one day maybeendorsed by and produced by the marley family its clear that they wanted it to be about hope love unity and the making of his definitive album exodus but they also did touch on some of the tougher material  but maybe didnt dwell on it as much as the critics would like we dont witness his ill health and death but do we really need to i dont think solots of references and small touches that will resonate with those who know his story well that may be missed by others if you know you know and that adds an extra layer but none of that knowledge is needed to enjoy the moviethe soundtrack is of course fantastic and acts as a narrative through the movie there is emotion joy and a clear missiona very well executed and acted biopic that although pulls a few punches doesnt fail to entertain and give the viewer a window into marley yes it leaves you wanting morebut thats fine by me come on netflix ","17 february 2024","6/10",2024-02-17,NA
2187,"the holdovers (2023)","i was scared this was going to happen","kevinfaftine","one love feels like a totally cynical corporate product and one that contains all of the worst aspects of the recent musical biopic trends in one film i dont think it does anything to get to the heart of why bob marley was as revered as he was and its completely lacking any of the impact or energy it needed to tell his story in an effective way like most of these movies i know very little about the real life figures being portrayed and if i only had this movie to go off i would be completely dumbfounded as to why any of these events were worth being depicted on filmthe whole thing just feels totally flat and without life kingsley benadir is fine but usually the one thing i can usually count on with these movies is outstanding acting but the script here didnt give him much to work with and it comes across in his performance rather than presenting an actual depict of this person the whole thing just feels like the expected snapshots of marleys career and life and its so scattershot in its execution that nothing the character does has much of any impact even something as simple as seeing him perform for the first time just comes and goes without any sort of impact and the story itself didnt serve the legend that marley was any betteri appreciate the fact that the film didnt go with the cradletograve structure but it still took a very expected and uninspired approach after some very badly inserted text it seems to be established that the whole thing is going to revolve around the build up to one concert but thats mostly done away with within the first  minutes after that the whole thing just chugs along at a totally meandering pace full of bland montages and eye rolling family drama that just makes the entire film feel unfocused thats in large part due to bad editing and also fairly uninspired work behind the camerathe whole technical approach feels totally defunct and it never really felt like renaldo marcus green or the writers decided what they wanted to say about this mans life and legacy the film drops us into the middle of marleys career without any kind of indication as to why he became such a phenomenon or how he came to be the way he is and because of that i was never that invested in the journey the film tries and fails to take him on theres also a lot of political and social elements at play in this script that are supposed to motivate marley and none of it feels tangible the few moments of social upheaval we see are few and far between and even then theyre executed it a totally uninteresting way that totally rob them of effectiveness the film also ends before marley can actually accomplish much of anything so the whole narrative just ends up feeling like a prolonged first acti always thought that something like bohemian rhapsody would be the worst thing to come out of the musical biopic phenomenon but i actually think id rate that movie over one love because for all that films faults and it has too many to list here i at least thought it did some justice to the legendary status of queen as well as having some genuinely riveting concert sequences this film not only totally fails at presenting an interesting portrait of its title character but its also totally unengaging as a viewing experience im not going to claim to be an expert on marley or his music but even as a passive admirer i am still totally aware at how much this film doesnt do his legacy justice as of now i think its time these musical biopics stopped until we get approaches that feel fitting for the lives and long lasting impact of these musicians","18 february 2024","6/10",2024-02-18,NA
